ID,Age,Gender,Mouse Use,Touchpad Use,Condition,Hits,Misses,AttDiff1,AttDiff2,AttDiff3,AttDiff4,AttDiff5,AttDiff6,AttDiff7,AttDiff8,Umux1,Umux2,NASA1,NASA2,NASA3,NASA4,NASA5,NASA6,Ownership,Agency1,Agency2,Agency3,Estimate(s),BaseAgency
1,23.0,female,0.0,1.0,pad,77,5,7,6.0,7.0,6,4,4,4,2,6,7,5,1,4,14,9,1.0,5,6,4,5,150,1
1,23.0,female,0.0,1.0,arm,74,7,5,5.0,6.0,5,7,7,7,7,5,5,7,1,5,14,12,2.0,7,6,5,6,130,2
1,23.0,female,0.0,1.0,button,81,0,7,7.0,7.0,7,3,2,1,1,5,7,2,1,1,21,6,1.0,3,7,7,5,180,0
2,22.0,male,1.0,0.0,arm,79,1,7,7.0,7.0,7,6,6,5,6,6,7,4,1,2,20,4,3.0,6,6,6,6,380,2
2,22.0,male,1.0,0.0,pad,78,2,6,6.0,6.0,6,6,6,4,4,5,6,4,2,3,21,3,2.0,3,5,3,4,480,1
2,22.0,male,1.0,0.0,button,81,0,6,6.0,7.0,7,6,3,2,2,4,6,4,2,5,20,4,2.0,2,2,2,2,510,0
3,24.0,female,0.0,1.0,button,78,5,7,7.0,7.0,7,4,4,4,5,6,7,3,3,5,5,3,3.0,4,5,6,5,180,0
3,24.0,female,0.0,1.0,pad,76,6,5,5.0,5.0,4,4,4,4,4,5,5,2,2,3,19,11,3.0,3,4,5,4,250,1
3,24.0,female,0.0,1.0,arm,78,5,7,7.0,7.0,6,7,6,6,7,7,6,1,3,1,21,9,3.0,7,6,7,7,180,2
4,26.0,female,1.0,1.0,button,81,0,7,7.0,7.0,4,5,4,4,4,4,7,9,6,11,21,11,1.0,4,6,6,5,250,0
4,26.0,female,1.0,1.0,pad,67,8,7,7.0,7.0,5,5,4,4,4,4,4,3,3,11,15,12,3.0,2,5,5,5,230,1
4,26.0,female,1.0,1.0,arm,77,2,7,7.0,7.0,6,4,4,4,4,6,7,11,2,5,19,5,2.0,5,6,6,5,240,2
5,31.0,female,0.0,0.0,button,75,7,6,2.0,7.0,7,1,1,4,1,7,7,3,3,3,18,4,12.0,6,4,7,4,360,0
5,31.0,female,0.0,0.0,arm,67,7,4,2.0,7.0,1,1,4,4,1,7,7,3,3,3,18,3,11.0,4,4,4,4,400,2
5,31.0,female,0.0,0.0,pad,70,4,4,2.0,6.0,6,2,2,4,2,6,6,12,11,11,19,12,4.0,6,4,4,4,400,1
6,32.0,female,0.0,1.0,arm,61,17,7,7.0,7.0,6,7,3,5,7,7,7,4,2,6,9,13,4.0,7,6,7,7,10,2
6,32.0,female,0.0,1.0,pad,69,10,7,7.0,7.0,7,3,4,6,1,7,7,5,3,5,13,11,4.0,1,6,6,7,5,1
6,32.0,female,0.0,1.0,button,74,5,7,3.0,7.0,7,1,1,1,1,5,7,5,5,3,8,8,3.0,1,6,6,5,5,0
7,25.0,male,1.0,0.0,pad,71,8,7,7.0,7.0,7,2,2,2,2,3,7,1,1,2,19,1,1.0,1,1,1,6,120,1
7,25.0,male,1.0,0.0,arm,75,6,7,7.0,7.0,7,2,2,1,2,2,7,1,1,1,20,2,1.0,2,1,1,4,160,2
7,25.0,male,1.0,0.0,button,80,1,7,7.0,7.0,7,2,2,2,2,7,7,1,1,1,21,1,1.0,1,1,1,1,180,0
