PID,level,touch,hover,gestures
1,0,0.0,1.0,0
1,1,0.0,1.0,2
1,2,0.8225806451612904,0.17741935483870963,0
1,3,0.0,1.0,0
1,4,0.0,1.0,4
1,5,0.0,1.0,1
1,6,0.1556390977443609,0.8443609022556391,0
2,0,0.0,1.0,1
2,1,0.0,1.0,1
2,2,0.0,1.0,1
2,3,0.0,1.0,1
2,4,0.0,1.0,2
2,5,0.0,1.0,3
2,6,0.12149532710280374,0.8785046728971962,0
3,0,0.0,1.0,3
3,1,0.0,1.0,1
3,2,0.0,1.0,1
3,3,0.0,1.0,0
3,4,0.0,1.0,1
3,5,0.0,1.0,4
3,6,0.68125,0.31875,0
4,0,0.0,1.0,2
4,1,0.0,1.0,1
4,2,0.0,1.0,0
4,3,0.0,1.0,1
4,4,0.0,1.0,3
4,5,0.0,1.0,0
4,6,0.0,1.0,0
5,0,0.0,1.0,1
5,1,0.0,1.0,4
5,2,0.0,1.0,0
5,3,0.0,1.0,0
5,4,0.0,1.0,5
5,5,0.21552511415525114,0.7844748858447489,0
5,6,0.8148584905660378,0.18514150943396224,0
6,0,0.0,1.0,4
6,1,0.0,1.0,3
6,2,0.0,1.0,1
6,3,0.6873315363881402,0.31266846361185985,0
6,4,0.0,1.0,1
6,5,0.8051948051948052,0.19480519480519476,0
6,6,0.8082644628099174,0.19173553719008263,0
7,0,0.0,1.0,0
7,1,0.0,1.0,0
7,2,0.09048723897911833,0.9095127610208816,5
7,3,0.0,1.0,0
7,4,0.0,1.0,0
7,5,0.0,1.0,0
7,6,0.0,1.0,1
8,0,0.0,1.0,1
8,1,0.0,1.0,1
8,2,0.41570438799076215,0.5842956120092379,0
8,3,0.0,1.0,2
8,4,0.0,1.0,1
8,5,0.49242424242424243,0.5075757575757576,3
8,6,0.8403361344537815,0.15966386554621848,0
9,0,0.0,1.0,0
9,1,0.0,1.0,0
9,2,0.0,1.0,0
9,3,0.0,1.0,0
9,4,0.596551724137931,0.403448275862069,0
9,5,0.0,1.0,0
9,6,0.7746478873239436,0.22535211267605637,0
10,0,0.0,1.0,1
10,1,0.0,1.0,1
10,2,0.0,1.0,1
10,3,0.0,1.0,0
10,4,0.0,1.0,1
10,5,0.0,1.0,4
10,6,0.411509900990099,0.588490099009901,0
11,0,0.0,1.0,7
11,1,0.0,1.0,2
11,2,0.0,1.0,2
11,3,0.0,1.0,1
11,4,0.0,1.0,1
11,5,0.0,1.0,3
11,6,0.0,1.0,0
12,0,0.0,1.0,2
12,1,0.0,1.0,1
12,2,0.0,1.0,1
12,3,0.0,1.0,2
12,4,0.0,1.0,1
12,5,0.0,1.0,7
12,6,0.0,1.0,0
