user,age,gender,glasses,handedness,ar_experience
1,47,male,FALSE,right,1
2,27,male,FALSE,right,0
3,25,female,FALSE,right,0
4,52,male,FALSE,right,0
5,21,male,FALSE,right,1
6,29,male,FALSE,right,2
7,25,male,FALSE,right,0
8,23,female,FALSE,right,0
9,33,male,FALSE,right,0
10,27,male,FALSE,right,2
11,36,female,FALSE,right,2
12,33,male,FALSE,right,0
13,27,male,TRUE,right,0
14,44,male,FALSE,right,0
15,19,male,FALSE,right,0
16,40,female,FALSE,right,0
17,25,male,FALSE,right,3
18,25,male,TRUE,right,1
19,33,male,FALSE,right,0
20,38,male,FALSE,right,0
21,71,female,FALSE,right,1
22,27,female,TRUE,right,2
23,47,female,TRUE,right,2
24,33,female,FALSE,right,1
