calid,pid,indexFinger.X,indexFinger.Y,indexFinger.Z,hand.X,hand.Y,hand.Z,forearm.X,forearm.Y,forearm.Z,upperArm.X,upperArm.Y,upperArm.Z,rightShoulder.X,rightShoulder.Y,rightShoulder.Z,hmd.X,hmd.Y,hmd.Z,leftShoulder.X,leftShoulder.Y,leftShoulder.Z,indexFingerO.X,indexFingerO.Y,indexFingerO.Z,handO.X,handO.Y,handO.Z,forearmO.X,forearmO.Y,forearmO.Z,upperArmO.X,upperArmO.Y,upperArmO.Z,rightShoulderO.X,rightShoulderO.Y,rightShoulderO.Z,hmdO.X,hmdO.Y,hmdO.Z,leftShoulderO.X,leftShoulderO.Y,leftShoulderO.Z
0,1,0.249488,0.587717,-0.336259,0.269703,0.786638,-0.308395,0.274709,0.929079,-0.349526,0.243527,1.127536,-0.391511,0.118794,1.274831,-0.359270,0.002445,1.530543,-0.304389,-0.125458,1.298991,-0.404799,0.511401,-0.331516,-0.609015,-0.086327,-0.133281,-0.805538,0.584068,0.336549,-0.357164,0.471294,0.394602,-0.448451,-0.037688,0.353598,-0.053834,-0.121725,-0.025424,0.000074,-0.125453,-0.401232,-0.102865
1,1,0.863091,1.482307,-0.390258,0.683031,1.418773,-0.387248,0.547488,1.415831,-0.435222,0.343753,1.402150,-0.459551,0.124592,1.301841,-0.390562,-0.007438,1.533747,-0.294763,-0.136933,1.296178,-0.373464,0.053825,0.133481,0.251723,0.053672,-0.587939,-0.761070,-0.138416,0.628459,-0.258818,-0.169553,0.599072,-0.161679,-0.045869,0.426669,-0.007805,-0.125823,-0.053952,0.010818,-0.101891,-0.352979,-0.078571
2,1,0.105000,1.475640,0.307586,0.114660,1.416892,0.128573,0.152756,1.414155,-0.015325,0.166070,1.396311,-0.221257,0.195347,1.487943,-0.002832,-0.012855,1.538789,-0.333433,-0.137093,1.296994,-0.426507,-0.106322,-0.602100,0.286107,0.572990,-0.565040,-0.547528,0.056529,-0.043475,-0.128819,-0.014793,-0.075987,-0.159036,0.499753,-0.691144,0.465996,-0.104361,-0.011756,0.003282,-0.119512,-0.457367,-0.078330
0,2,0.196890,0.697623,-0.292895,0.221786,0.884643,-0.320514,0.207731,1.061990,-0.345667,0.185379,1.262261,-0.390357,0.064364,1.449555,-0.353832,-0.054984,1.665201,-0.214634,-0.173007,1.439529,-0.349553,0.392827,-0.438466,-0.528001,-0.007034,-0.163663,-0.732865,0.694035,0.149298,-0.067570,0.531414,0.366485,-0.392912,0.151252,-0.151951,0.037153,0.298226,0.040229,-0.021494,-0.121163,-0.336133,-0.030467
1,2,0.837670,1.590079,-0.309901,0.652608,1.579265,-0.343123,0.469021,1.569200,-0.366417,0.263148,1.545123,-0.387197,0.027116,1.485707,-0.334912,0.017472,1.697442,-0.265274,-0.206565,1.423946,-0.296999,-0.009425,0.007450,0.064027,0.047945,-0.667630,-0.739617,0.031075,0.686095,-0.021457,-0.118910,0.598162,-0.119796,0.133610,-0.177829,-0.092280,0.093591,0.557615,-0.117357,-0.093751,-0.309320,0.026951
2,2,-0.014777,1.648045,0.424817,0.012660,1.635636,0.240114,0.037572,1.609006,0.050830,0.066279,1.561286,-0.159759,0.010773,1.491673,-0.329976,-0.067185,1.711930,-0.259085,-0.192947,1.438007,-0.380861,-0.068588,-0.687625,0.055535,0.546199,-0.518444,-0.508374,-0.017668,-0.042606,0.051506,-0.033579,-0.164231,-0.117341,0.059557,0.166156,-0.072781,0.129632,0.044690,-0.053652,-0.101252,-0.447963,-0.025007
0,3,0.272574,0.596569,-0.362108,0.302883,0.767328,-0.395084,0.283269,0.933629,-0.413648,0.258994,1.118542,-0.454952,0.155599,1.267417,-0.425024,0.050193,1.534903,-0.348835,-0.083635,1.259774,-0.411404,-0.437788,0.474969,0.472614,-0.280882,-0.198622,-0.672015,-0.642040,-0.229716,0.173349,0.559158,0.353547,-0.389426,-0.095812,0.238579,-0.022414,0.002669,0.092630,-0.011581,-0.101426,-0.358766,-0.037328
1,3,0.901126,1.366485,-0.448431,0.724326,1.361680,-0.464596,0.555389,1.375245,-0.462000,0.363237,1.366260,-0.471091,0.150588,1.295976,-0.423914,0.034511,1.539570,-0.336695,-0.094991,1.260732,-0.398353,0.043313,0.084744,0.032634,-0.141744,-0.810516,-0.568305,0.075439,-0.689157,0.149614,-0.154114,0.613023,-0.189959,-0.070764,0.237836,0.063330,-0.020101,0.068188,-0.006179,-0.085256,-0.401095,-0.027353
2,3,0.176260,1.451135,0.251702,0.208573,1.432550,0.074897,0.198523,1.419116,-0.099720,0.206701,1.379004,-0.289278,0.137214,1.306056,-0.424228,0.069334,1.529282,-0.371906,-0.077996,1.267396,-0.436988,-0.035228,0.669671,-0.195110,0.363978,-0.561217,-0.531526,0.024546,-0.015005,0.017275,-0.036539,-0.079708,-0.086788,-0.046475,-0.049110,0.097960,0.031868,0.093567,-0.029661,-0.104292,-0.444154,-0.031208
0,4,0.212138,1.132365,-0.388680,0.273520,0.816626,-0.416220,0.242978,0.958104,-0.440119,0.185347,1.147356,-0.456690,0.087800,1.290797,-0.420475,-0.040356,1.514595,-0.306745,-0.152454,1.277562,-0.373375,-0.354366,0.430945,-0.588003,0.324663,0.192275,0.796499,-0.546382,-0.427870,0.319840,0.483711,0.429712,-0.431657,-0.073352,0.160509,-0.034820,0.107675,0.008747,0.038001,0.076362,0.132719,0.076608
