pid,cid,time,indexFinger.X,indexFinger.Y,indexFinger.Z,hand.X,hand.Y,hand.Z,forearm.X,forearm.Y,forearm.Z,upperArm.X,upperArm.Y,upperArm.Z,rightShoulder.X,rightShoulder.Y,rightShoulder.Z,hmd.X,hmd.Y,hmd.Z,leftShoulder.X,leftShoulder.Y,leftShoulder.Z,indexFingerO.X,indexFingerO.Y,indexFingerO.Z,handO.X,handO.Y,handO.Z,forearmO.X,forearmO.Y,forearmO.Z,upperArmO.X,upperArmO.Y,upperArmO.Z,rightShoulderO.X,rightShoulderO.Y,rightShoulderO.Z,hmdO.X,hmdO.Y,hmdO.Z,leftShoulderO.X,leftShoulderO.Y,leftShoulderO.Z
1,0,5.431300,0.055176,1.558706,0.277414,0.095951,1.495090,0.103562,0.153909,1.464930,-0.034545,0.185070,1.414078,-0.231738,0.103805,1.300765,-0.371740,0.013159,1.550452,-0.341815,-0.116719,1.302962,-0.415778,-0.154682,-0.670954,0.259762,0.626640,-0.565203,-0.464833,-0.031555,-0.134927,-0.129473,-0.076898,-0.100109,-0.190203,-0.002935,0.366088,0.037051,-0.048971,-0.007790,0.010917,-0.124852,-0.403729,-0.102975
1,1,2.232600,0.395437,1.229792,0.238586,0.336625,1.244793,0.059758,0.333517,1.266498,-0.088405,0.275901,1.301620,-0.280916,0.128746,1.281812,-0.397842,0.040006,1.535909,-0.340384,-0.112263,1.302719,-0.401813,-0.025167,-0.523131,0.073856,0.385330,-0.528273,-0.712316,0.125062,0.122986,-0.291401,0.051774,0.156498,-0.314556,-0.022165,0.490407,-0.060302,-0.105206,-0.129680,0.030141,-0.137058,-0.335889,-0.093367
1,2,2.043500,0.065807,1.550936,0.308696,0.094301,1.486107,0.134952,0.156682,1.455413,-0.002130,0.190922,1.408526,-0.199177,0.104264,1.299752,-0.348739,0.017863,1.545264,-0.324115,-0.108909,1.302478,-0.412746,-0.240714,-0.685056,0.182905,0.588881,-0.582053,-0.489903,-0.018996,-0.151866,-0.156986,-0.066472,-0.105019,-0.199041,0.013664,0.296288,0.037047,-0.074365,0.019567,0.009265,-0.119852,-0.448962,-0.108039
1,3,2.254200,0.321727,1.829781,0.123871,0.282217,1.691060,0.002090,0.284389,1.608930,-0.125952,0.236331,1.492319,-0.287575,0.104269,1.307722,-0.361509,0.020203,1.565071,-0.331003,-0.138006,1.296582,-0.396076,-0.347083,-0.474191,0.376456,0.530882,-0.715618,-0.452552,-0.238615,0.047871,-0.064144,-0.273282,0.093796,-0.088130,0.046375,-0.336142,-0.036984,0.022072,-0.152640,-0.007073,-0.115766,-0.410206,-0.082019
1,4,2.910400,-0.134159,1.765318,0.199879,-0.061696,1.644036,0.075700,0.033384,1.579345,-0.025613,0.113176,1.477933,-0.185624,0.067794,1.309042,-0.323047,-0.029949,1.559060,-0.323820,-0.130033,1.298513,-0.442395,-0.402304,-0.745444,0.228272,0.704733,-0.612132,-0.281689,-0.169962,-0.291726,-0.066218,-0.183389,-0.230683,-0.126742,0.058604,-0.164009,-0.044563,-0.009818,0.138230,-0.006361,-0.093350,-0.571542,-0.104874
1,5,2.421000,0.270615,1.770626,0.198912,0.256082,1.645882,0.056174,0.263017,1.579678,-0.078712,0.230742,1.475711,-0.253404,0.104199,1.303779,-0.351212,0.017294,1.559003,-0.332975,-0.135191,1.294169,-0.402092,-0.398103,-0.584330,0.254421,0.565716,-0.705290,-0.418243,-0.204313,0.008483,-0.055710,-0.226684,0.055566,-0.092056,0.053570,-0.301952,-0.034415,-0.005822,-0.120564,0.014530,-0.119990,-0.451003,-0.069490
1,6,2.320800,0.049131,1.854396,0.180450,0.079597,1.709088,0.064941,0.126056,1.633432,-0.057405,0.157978,1.511490,-0.220923,0.086636,1.315046,-0.334207,-0.007102,1.565065,-0.339149,-0.126610,1.295455,-0.441195,-0.439115,-0.647213,0.321776,0.669373,-0.666473,-0.324587,-0.226416,-0.100512,0.000319,-0.270082,-0.132100,-0.063595,0.064324,-0.150616,-0.057846,0.022464,0.037102,-0.005914,-0.109603,-0.547035,-0.085357
1,7,2.110400,0.286313,1.570401,0.285430,0.259547,1.484298,0.121163,0.259030,1.463292,-0.026740,0.223222,1.417202,-0.223070,0.093087,1.296139,-0.356013,0.009203,1.553718,-0.315520,-0.140790,1.297496,-0.400627,-0.320979,-0.606250,0.203822,0.551469,-0.601305,-0.571500,-0.026771,0.074361,-0.074559,-0.098420,0.042259,-0.132403,0.019643,-0.330441,-0.028571,-0.028234,-0.104858,-0.001281,-0.113639,-0.435840,-0.084895
1,8,1.999900,-0.284972,1.228750,0.254918,-0.158918,1.241310,0.113744,-0.041512,1.269977,0.025167,0.078983,1.305621,-0.137334,0.076943,1.289435,-0.320594,-0.042061,1.533776,-0.343771,-0.101245,1.303202,-0.475467,-0.152460,-0.882867,-0.147419,0.701369,-0.331725,-0.413120,0.213082,-0.333170,-0.112380,0.179723,-0.264211,-0.202623,-0.031949,-0.083585,-0.028691,-0.122544,0.288859,-0.041168,-0.111106,-0.651476,-0.119852
1,9,2.255200,0.076974,1.747115,0.210101,0.113604,1.624833,0.069833,0.169986,1.565670,-0.056757,0.193950,1.467348,-0.236122,0.096525,1.308398,-0.362703,-0.002785,1.565433,-0.361979,-0.128708,1.299887,-0.444956,-0.427196,-0.718064,0.180888,0.677528,-0.627104,-0.364665,-0.181688,-0.144097,-0.034014,-0.190593,-0.062203,-0.107127,0.036347,-0.254162,-0.041026,0.013915,0.014846,-0.004282,-0.107612,-0.497479,-0.092002
