pid,handedness,gender,age,forearmLength,forearmMarkerDist,indexFingerLength,upperarmLength,upperarmMarkerDist,height,rightShoulderMarkerDist.X,rightShoulderMarkerDist.Y
1,Right,Female,26,0.262000,0.122000,0.076000,0.272000,0.129000,1.670000,0.032000,0.151000
2,Right,Male,26,0.244000,0.115000,0.098000,0.279000,0.157000,1.880000,0.057000,0.102000
3,Right,Female,23,0.265000,0.107000,0.075000,0.265000,0.105000,1.650000,0.039000,0.145000
4,Right,Female,23,0.256000,0.091000,0.073000,0.288000,0.106000,1.690000,0.044000,0.103000
5,Right,Female,25,0.268000,0.085000,0.072000,0.263000,0.160000,1.790000,0.036000,0.095000
6,Right,Male,24,0.330000,0.175000,0.107000,0.269000,0.099000,1.940000,0.073000,0.087000
7,Right,Male,25,0.283000,0.074000,0.091000,0.297000,0.165000,1.820000,0.066000,0.062000
8,Right,Female,23,0.268000,0.105000,0.086000,0.260000,0.108000,1.690000,0.033000,0.120000
9,Right,Male,25,0.262000,0.167000,0.093000,0.335000,0.136000,1.880000,0.031000,0.079000
10,Right,Male,28,0.288000,0.099000,0.092000,0.356000,0.104000,1.850000,0.067000,0.117000
11,Right,Male,24,0.269000,0.075000,0.080000,0.255000,0.106000,1.790000,0.043000,0.128000
12,Right,Male,26,0.295000,0.142000,0.117000,0.325000,1.151000,1.900000,0.355000,0.118000
13,Right,Other,20,0.294000,0.145000,0.079000,0.321000,0.095000,1.750000,0.046000,0.107000
