cid,pid,target.X,target.Y,target.Z
0,1,0,1.49,1.5
1,1,1,0.49,1.5
2,1,0,1.49,1.5
3,1,1,2.49,1.5
4,1,-1,2.49,2.5
5,1,1,2.49,2.5
6,1,0,2.49,1.5
7,1,1,1.49,2.5
8,1,-1,0.49,1.5
9,1,0,2.49,3.5
10,1,-1,1.49,3.5
11,1,-1,1.49,3.5
12,1,1,0.49,2.5
13,1,-1,1.49,2.5
14,1,1,1.49,1.5
15,1,0,1.49,1.5
16,1,0,1.49,3.5
17,1,1,0.49,2.5
18,1,-1,0.49,3.5
19,1,0,2.49,2.5
20,1,1,2.49,1.5
21,1,-1,0.49,2.5
22,1,0,0.49,1.5
23,1,0,1.49,2.5
24,1,0,0.49,2.5
25,1,1,0.49,3.5
26,1,-1,0.49,3.5
27,1,0,1.49,2.5
28,1,-1,1.49,2.5
29,1,0,1.49,3.5
30,1,1,1.49,3.5
31,1,0,2.49,3.5
32,1,0,0.49,3.5
33,1,-1,1.49,2.5
34,1,1,1.49,2.5
35,1,-1,2.49,1.5
36,1,0,0.49,3.5
37,1,-1,2.49,3.5
38,1,1,0.49,3.5
39,1,-1,0.49,2.5
40,1,-1,0.49,2.5
41,1,0,1.49,2.5
42,1,-1,1.49,1.5
43,1,-1,1.49,1.5
44,1,0,0.49,1.5
45,1,1,2.49,1.5
46,1,-1,1.49,2.5
47,1,0,2.49,2.5
48,1,0,2.49,1.5
49,1,0,0.49,2.5
50,1,-1,0.49,3.5
51,1,-1,0.49,2.5
52,1,1,2.49,2.5
53,1,1,2.49,2.5
54,1,-1,2.49,2.5
55,1,1,2.49,3.5
56,1,0,0.49,2.5
57,1,-1,1.49,3.5
58,1,1,0.49,2.5
59,1,1,0.49,2.5
60,1,-1,0.49,1.5
61,1,1,0.49,1.5
62,1,0,2.49,2.5
63,1,-1,2.49,1.5
64,1,1,0.49,1.5
65,1,1,1.49,3.5
66,1,1,0.49,1.5
67,1,0,0.49,1.5
68,1,1,1.49,2.5
69,1,-1,2.49,1.5
70,1,-1,0.49,2.5
71,1,0,0.49,3.5
72,1,1,0.49,1.5
73,1,1,0.49,2.5
74,1,-1,0.49,3.5
75,1,1,1.49,1.5
76,1,1,1.49,1.5
77,1,1,0.49,3.5
78,1,0,2.49,1.5
79,1,-1,0.49,1.5
80,1,-1,1.49,1.5
81,1,0,2.49,1.5
82,1,0,2.49,3.5
83,1,0,2.49,2.5
84,1,0,0.49,2.5
85,1,-1,2.49,3.5
86,1,0,1.49,3.5
87,1,-1,2.49,3.5
88,1,-1,1.49,1.5
89,1,0,0.49,1.5
90,1,1,2.49,3.5
91,1,1,0.49,3.5
92,1,0,0.49,1.5
93,1,0,1.49,1.5
94,1,0,2.49,1.5
95,1,1,1.49,2.5
96,1,1,2.49,2.5
97,1,0,1.49,1.5
98,1,-1,0.49,1.5
99,1,0,1.49,2.5
100,1,0,2.49,2.5
101,1,1,1.49,3.5
102,1,-1,1.49,2.5
103,1,1,2.49,3.5
104,1,1,1.49,1.5
105,1,-1,1.49,3.5
106,1,-1,2.49,1.5
107,1,-1,2.49,2.5
108,1,1,1.49,3.5
109,1,-1,2.49,2.5
110,1,0,0.49,3.5
111,1,-1,0.49,1.5
112,1,-1,2.49,3.5
113,1,-1,1.49,1.5
114,1,0,2.49,3.5
115,1,0,2.49,3.5
116,1,1,2.49,2.5
117,1,1,2.49,1.5
118,1,0,1.49,2.5
119,1,1,2.49,3.5
120,1,-1,2.49,1.5
121,1,0,1.49,3.5
122,1,1,1.49,3.5
123,1,1,1.49,2.5
124,1,0,1.49,3.5
125,1,1,2.49,1.5
126,1,1,1.49,1.5
127,1,0,0.49,3.5
128,1,-1,1.49,3.5
129,1,-1,2.49,2.5
130,1,-1,2.49,3.5
131,1,0,0.49,2.5
132,1,-1,0.49,3.5
133,1,1,0.49,3.5
134,1,1,2.49,3.5
0,2,1,1.49,3.5
1,2,1,2.49,3.5
2,2,1,1.49,1.5
3,2,0,0.49,1.5
4,2,0,1.49,1.5
5,2,0,2.49,2.5
6,2,-1,2.49,3.5
7,2,0,1.49,2.5
8,2,0,2.49,1.5
9,2,1,0.49,3.5
10,2,1,1.49,1.5
11,2,1,2.49,3.5
12,2,0,0.49,3.5
13,2,1,1.49,1.5
14,2,-1,2.49,3.5
15,2,-1,0.49,1.5
16,2,1,1.49,2.5
17,2,-1,2.49,3.5
18,2,-1,0.49,3.5
19,2,0,1.49,2.5
20,2,0,2.49,1.5
21,2,0,1.49,3.5
22,2,1,0.49,2.5
23,2,-1,2.49,1.5
24,2,-1,1.49,3.5
25,2,1,2.49,1.5
26,2,-1,2.49,2.5
27,2,0,2.49,1.5
28,2,1,2.49,3.5
29,2,1,1.49,3.5
30,2,-1,0.49,2.5
31,2,-1,0.49,3.5
32,2,-1,0.49,2.5
33,2,1,2.49,1.5
34,2,-1,0.49,1.5
35,2,-1,2.49,2.5
36,2,-1,2.49,2.5
37,2,1,1.49,2.5
38,2,-1,1.49,2.5
39,2,-1,0.49,1.5
40,2,1,1.49,2.5
41,2,0,0.49,2.5
42,2,1,2.49,2.5
43,2,1,2.49,1.5
44,2,0,1.49,2.5
45,2,0,0.49,1.5
46,2,-1,1.49,2.5
47,2,0,0.49,2.5
48,2,-1,0.49,3.5
49,2,0,0.49,3.5
50,2,-1,2.49,1.5
51,2,-1,0.49,2.5
52,2,-1,1.49,3.5
53,2,-1,1.49,1.5
54,2,1,2.49,2.5
55,2,0,2.49,2.5
56,2,1,2.49,3.5
57,2,0,2.49,3.5
58,2,1,0.49,3.5
59,2,-1,2.49,3.5
60,2,1,0.49,1.5
61,2,1,1.49,1.5
62,2,1,0.49,3.5
63,2,-1,0.49,2.5
64,2,1,0.49,2.5
65,2,-1,2.49,1.5
66,2,1,0.49,3.5
67,2,-1,1.49,3.5
68,2,-1,2.49,3.5
69,2,1,2.49,1.5
70,2,1,1.49,2.5
71,2,0,2.49,3.5
72,2,0,0.49,1.5
73,2,-1,0.49,1.5
74,2,-1,2.49,1.5
75,2,1,1.49,1.5
76,2,0,0.49,2.5
77,2,0,2.49,3.5
78,2,1,2.49,1.5
79,2,1,1.49,3.5
80,2,1,2.49,2.5
81,2,-1,2.49,2.5
82,2,0,2.49,2.5
83,2,-1,1.49,2.5
84,2,0,0.49,2.5
85,2,-1,1.49,1.5
86,2,0,0.49,2.5
87,2,-1,0.49,3.5
88,2,0,1.49,3.5
89,2,1,2.49,2.5
90,2,-1,1.49,1.5
91,2,0,2.49,2.5
92,2,-1,1.49,2.5
93,2,0,0.49,3.5
94,2,-1,0.49,3.5
95,2,-1,1.49,1.5
96,2,-1,1.49,2.5
97,2,0,1.49,1.5
98,2,1,0.49,1.5
99,2,0,2.49,1.5
100,2,1,0.49,2.5
101,2,1,1.49,2.5
102,2,0,0.49,3.5
103,2,0,2.49,2.5
104,2,-1,0.49,2.5
105,2,-1,2.49,2.5
106,2,0,1.49,2.5
107,2,0,1.49,3.5
108,2,1,2.49,2.5
109,2,0,2.49,1.5
110,2,-1,2.49,1.5
111,2,0,0.49,3.5
112,2,0,1.49,1.5
113,2,0,0.49,1.5
114,2,1,1.49,3.5
115,2,-1,1.49,3.5
116,2,-1,1.49,1.5
117,2,0,1.49,3.5
118,2,-1,1.49,3.5
119,2,0,1.49,2.5
120,2,1,1.49,3.5
121,2,0,1.49,3.5
122,2,1,0.49,1.5
123,2,0,0.49,1.5
124,2,1,2.49,3.5
125,2,1,0.49,2.5
126,2,0,1.49,1.5
127,2,1,0.49,1.5
128,2,1,0.49,3.5
129,2,0,1.49,1.5
130,2,0,2.49,3.5
131,2,1,0.49,1.5
132,2,0,2.49,3.5
133,2,1,0.49,2.5
134,2,-1,0.49,1.5
0,3,-1,1.49,3.5
1,3,1,1.49,3.5
2,3,-1,1.49,1.5
3,3,1,0.49,3.5
4,3,1,0.49,2.5
5,3,0,0.49,3.5
6,3,1,2.49,2.5
7,3,0,1.49,2.5
8,3,0,2.49,1.5
9,3,0,1.49,3.5
10,3,1,0.49,2.5
11,3,1,1.49,3.5
12,3,1,0.49,3.5
13,3,1,2.49,3.5
14,3,1,2.49,1.5
15,3,-1,2.49,3.5
16,3,-1,0.49,3.5
17,3,1,0.49,2.5
18,3,0,0.49,1.5
19,3,1,2.49,1.5
20,3,-1,2.49,1.5
21,3,-1,1.49,3.5
22,3,-1,2.49,1.5
23,3,0,0.49,1.5
24,3,0,2.49,2.5
25,3,1,1.49,3.5
26,3,-1,1.49,3.5
27,3,-1,2.49,2.5
28,3,0,1.49,1.5
29,3,1,1.49,3.5
30,3,1,0.49,1.5
31,3,0,1.49,1.5
32,3,1,2.49,2.5
33,3,0,0.49,1.5
34,3,1,0.49,1.5
35,3,1,0.49,3.5
36,3,-1,2.49,2.5
37,3,0,0.49,3.5
38,3,1,2.49,1.5
39,3,1,2.49,2.5
40,3,-1,0.49,2.5
41,3,0,1.49,2.5
42,3,1,1.49,1.5
43,3,0,2.49,3.5
44,3,0,0.49,1.5
45,3,-1,2.49,2.5
46,3,1,0.49,1.5
47,3,0,0.49,1.5
48,3,-1,1.49,2.5
49,3,-1,1.49,1.5
50,3,-1,2.49,3.5
51,3,1,1.49,1.5
52,3,-1,2.49,3.5
53,3,-1,0.49,1.5
54,3,-1,1.49,3.5
55,3,1,0.49,1.5
56,3,0,0.49,2.5
57,3,1,0.49,3.5
58,3,0,2.49,3.5
59,3,-1,0.49,3.5
60,3,0,1.49,3.5
61,3,-1,1.49,2.5
62,3,1,1.49,2.5
63,3,1,0.49,2.5
64,3,1,1.49,1.5
65,3,-1,1.49,1.5
66,3,-1,2.49,2.5
67,3,-1,0.49,3.5
68,3,0,2.49,1.5
69,3,-1,0.49,2.5
70,3,-1,0.49,2.5
71,3,1,0.49,2.5
72,3,0,1.49,3.5
73,3,0,0.49,3.5
74,3,0,1.49,1.5
75,3,0,1.49,1.5
76,3,-1,0.49,3.5
77,3,0,2.49,2.5
78,3,-1,0.49,1.5
79,3,-1,1.49,2.5
80,3,0,2.49,2.5
81,3,0,0.49,2.5
82,3,1,1.49,3.5
83,3,-1,1.49,2.5
84,3,0,0.49,2.5
85,3,0,2.49,1.5
86,3,1,2.49,3.5
87,3,1,2.49,3.5
88,3,1,2.49,3.5
89,3,0,0.49,3.5
90,3,1,0.49,3.5
91,3,0,2.49,2.5
92,3,1,0.49,1.5
93,3,1,2.49,2.5
94,3,-1,1.49,1.5
95,3,1,2.49,2.5
96,3,0,1.49,2.5
97,3,-1,2.49,1.5
98,3,1,1.49,1.5
99,3,-1,0.49,1.5
100,3,-1,0.49,1.5
101,3,0,1.49,2.5
102,3,1,2.49,3.5
103,3,1,1.49,2.5
104,3,-1,1.49,1.5
105,3,0,0.49,2.5
106,3,-1,1.49,3.5
107,3,0,0.49,2.5
108,3,-1,2.49,3.5
109,3,0,0.49,3.5
110,3,-1,0.49,1.5
111,3,1,1.49,1.5
112,3,1,2.49,1.5
113,3,-1,2.49,3.5
114,3,0,1.49,3.5
115,3,1,1.49,2.5
116,3,0,2.49,3.5
117,3,-1,0.49,2.5
118,3,1,2.49,1.5
119,3,-1,2.49,1.5
120,3,-1,2.49,2.5
121,3,0,2.49,3.5
122,3,0,1.49,1.5
123,3,-1,0.49,2.5
124,3,0,1.49,3.5
125,3,0,2.49,3.5
